geom_id,current_year,policy_scenario,income_v,age_v,dep_v,literacy_v,sanitation_v,drinking_water_v,solid_waste_v,hygiene_v,congestion_v,wall_material_v,roof_material_v,toilet_facility_v,disease_risk,policy_reduction,infection_probability,pre_existing_cases,incident_cases_baseline,incident_cases_flood,flood_aggravated_pre_existing_cases,incident_cases,flood_driven_cases,total_disease_events,active_cases,recovered_cases,cumulative_incident_cases,cumulative_disease_events,cumulative_flood_burden,ead_total,ead_baseline,ead_climate_change,exposed_population_fraction,vuln_exposure_fraction
PAKr102_floodplain,2010,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.8100959062576294,0.6107039451599121,0.8421558141708374,0.5016647577285767,0.7639999985694885,0.3859999477863312,0.4530000686645508,0.4255869686603546,0.5684642791748047,0.0,0.0518183559179306,13409,6629,950,499,7579,1449,8078,16207,4781,75431,76488,3412,887019464.5649414,874000000.0,13019464.564941406,0.6913495522080774,0.7281729897100678
PAKr102_floodplain,2011,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.8557531833648682,0.6446757912635803,0.8640806674957275,0.540937066078186,0.7630001306533813,0.3839999139308929,0.4509999752044678,0.4538967609405517,0.5840870141983032,0.0,0.052955288439989,16207,6682,843,584,7525,1427,8109,18009,5723,82956,84597,4839,888087617.7966309,874000000.0,14087617.79663086,0.633291850195378,0.687563692033632
PAKr102_floodplain,2012,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.8407531976699829,0.63267582654953,0.8540807366371155,0.5259371399879456,0.7620002031326294,0.3819999694824219,0.4489999711513519,0.4438968598842621,0.5779370069503784,0.0,0.0462349615991115,18009,6568,0,0,6568,0,6568,15579,8998,89524,91165,4839,889372308.6608887,874000000.0,15372308.660888672,0.0,0.0
PAKr102_floodplain,2013,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.8257532715797424,0.620675802230835,0.8440806865692139,0.5109370946884155,0.7610000967979431,0.3799999058246612,0.4469999670982361,0.4338968098163605,0.5717870593070984,0.0,0.0457429625093936,15579,6539,0,0,6539,0,6539,14353,7765,96063,97704,4839,890642860.8759766,874000000.0,16642860.875976562,0.0,0.0
PAKr102_floodplain,2014,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.8107531666755676,0.6086757779121399,0.8340808749198914,0.4959370791912079,0.7600002288818359,0.3779999613761902,0.4449998736381531,0.423896849155426,0.5656370520591736,0.0,0.0452509634196758,14353,6547,0,0,6547,0,6547,13745,7155,102610,104251,4839,891653208.2797852,874000000.0,17653208.279785156,0.0,0.0
PAKr102_floodplain,2016,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.8327309489250183,0.6393914222717285,0.853744387626648,0.5313652753829956,0.7590002417564392,0.3759999573230743,0.4429998993873596,0.449493259191513,0.5777792930603027,0.0,0.0520245395600795,13745,6892,869,430,7761,1299,8191,16485,5021,110371,112442,6138,592562368.9450684,874000000.0,0.0,0.5849842199482284,0.6569295951639562
PAKr102_floodplain,2017,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.8177309632301331,0.6273914575576782,0.8437443971633911,0.5163652896881104,0.7580003142356873,0.3739998638629913,0.4409998953342438,0.4394932389259338,0.5716292858123779,0.0,0.0457303486764431,16485,6638,0,0,6638,0,6638,14873,8250,117009,119080,6138,614041004.4602051,874000000.0,0.0,0.0,0.0
PAKr102_floodplain,2018,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.802730917930603,0.6153914332389832,0.833744466304779,0.5013653635978699,0.757000207901001,0.3719999492168426,0.4389999508857727,0.4294932186603546,0.5654793381690979,0.0,0.0452383495867252,14873,6597,0,0,6597,0,6597,14017,7453,123606,125677,6138,636337802.6950684,874000000.0,0.0,0.0,0.0
PAKr102_floodplain,2019,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.7877309322357178,0.6033914089202881,0.8237443566322327,0.4863653481006622,0.7560001015663147,0.369999885559082,0.4369998574256897,0.4194932579994201,0.5593293905258179,0.0,0.044746346771717,14017,6704,0,0,6704,0,6704,13748,6973,130310,132381,6138,659297052.8748779,874000000.0,0.0,0.0,0.0
PAKr102_floodplain,2020,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.7727309465408325,0.591391384601593,0.8137444853782654,0.471365362405777,0.755000114440918,0.3679999411106109,0.4349998533725738,0.4094932079315185,0.5531793236732483,0.0,0.0442543439567089,13748,6607,0,0,6607,0,6607,13498,6857,136917,138988,6138,681960014.7017822,874000000.0,0.0,0.0,0.0
