geom_id,current_year,policy_scenario,income_v,age_v,dep_v,literacy_v,sanitation_v,drinking_water_v,solid_waste_v,hygiene_v,congestion_v,wall_material_v,roof_material_v,toilet_facility_v,disease_risk,policy_reduction,infection_probability,pre_existing_cases,incident_cases_baseline,incident_cases_flood,flood_aggravated_pre_existing_cases,incident_cases,flood_driven_cases,total_disease_events,active_cases,recovered_cases,cumulative_incident_cases,cumulative_disease_events,cumulative_flood_burden,ead_total,ead_baseline,ead_climate_change,exposed_population_fraction,vuln_exposure_fraction
PAKr102_floodplain,2000,enhanced_wash,0.3131,0.28730002,0.77799994,0.54595095,0.52500004,0.228,0.63999987,0.625,0.847,0.31299996,0.319,0.37400004,0.46762452,0.0,0.037409965,0,5968,0,0,5968,0,5968,5968,0,5968,5968,0,873962739.7294922,874000000.0,0.0,0.0,0.0
PAKr102_floodplain,2001,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.5100001096725464,0.2159999907016754,0.6299999952316284,0.6100001335144043,0.846000075340271,0.3109999597072601,0.3169999718666076,0.3640000522136688,0.461474597454071,0.0,0.0369179658591747,5968,5739,0,0,5739,0,5739,8769,2938,11707,11707,0,875196103.9672852,874000000.0,1196103.9672851562,0.0,0.0
PAKr102_floodplain,2002,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.4950000941753387,0.2040000110864639,0.6200000047683716,0.5950000882148743,0.8450002670288086,0.3089999854564667,0.3149999976158142,0.3540000915527344,0.4553245902061462,0.0,0.0364259630441665,8769,5491,0,0,5491,0,5491,9864,4396,17198,17198,0,876494661.3413086,874000000.0,2494661.3413085938,0.0,0.0
PAKr102_floodplain,2003,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.5326144695281982,0.2318762093782425,0.637691855430603,0.6270760297775269,0.8439998626708984,0.3069999516010284,0.312999963760376,0.3772302567958832,0.4680604040622711,0.0,0.0985056906938552,9864,5678,9341,169,15019,9510,15188,21043,3840,32217,32386,9510,877705994.1643066,874000000.0,3705994.1643066406,0.5444898109783658,0.5717720040045802
PAKr102_floodplain,2004,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.5176145434379578,0.2198762446641922,0.6276918053627014,0.6120761036872864,0.8429999947547913,0.3050000071525574,0.3109999597072601,0.3672302663326263,0.4619103968143463,0.0,0.036952830851078,21043,5168,0,0,5168,0,5168,15750,10461,37385,37554,9510,878845648.5541992,874000000.0,4845648.554199219,0.0,0.0
PAKr102_floodplain,2005,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.5026145577430725,0.2078762352466583,0.6176918745040894,0.5970762372016907,0.8420000672340393,0.3029999732971191,0.3089999854564667,0.3572302460670471,0.4557603895664215,0.0,0.0364608280360698,15750,5161,0,0,5161,0,5161,13043,7868,42546,42715,9510,879972204.8071289,874000000.0,5972204.807128906,0.0,0.0
PAKr102_floodplain,2006,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.4876146018505096,0.1958762556314468,0.6076918244361877,0.5820761322975159,0.8410000801086426,0.3009999394416809,0.3069999516010284,0.3472302854061126,0.4496104419231415,0.0,0.0359688363969326,13043,5385,0,0,5385,0,5385,11926,6502,47931,48100,9510,881481666.9157715,874000000.0,7481666.915771484,0.0,0.0
PAKr102_floodplain,2007,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.5291135311126709,0.2266965210437774,0.6274282336235046,0.6176278591156006,0.8400000929832458,0.2989999949932098,0.3050000071525574,0.3729138076305389,0.4637406170368194,0.0,0.1106493398547172,11926,5466,10941,243,16407,11184,16650,23913,4420,64338,64750,20694,882568515.6101074,874000000.0,8568515.610107422,0.5864928482720047,0.6288962354102142
PAKr102_floodplain,2008,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.5141136050224304,0.2146965414285659,0.6174281239509583,0.6026279926300049,0.8390001654624939,0.296999990940094,0.3029999732971191,0.3629138469696045,0.4575906097888946,0.0,0.03660723939538,23913,4835,0,0,4835,0,4835,16888,11860,69173,69585,20694,884139703.4545898,874000000.0,10139703.454589844,0.0,0.0
PAKr102_floodplain,2009,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.4991135895252228,0.2026965320110321,0.607428252696991,0.5876279473304749,0.8380001783370972,0.2949999868869781,0.3009999394416809,0.3529138267040252,0.4514405727386474,0.0,0.036115251481533,16888,5238,0,0,5238,0,5238,13623,8503,74411,74823,20694,885682983.0085449,874000000.0,11682983.008544922,0.0,0.0
PAKr102_floodplain,2010,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.55005943775177,0.2406766265630722,0.6321366429328918,0.6316321492195129,0.8370000720024109,0.2929999530315399,0.2989999949932098,0.3845638930797577,0.4689617156982422,0.0,0.1395372748374939,13623,5489,14949,445,20438,15394,20883,29314,4747,94849,95706,36088,886549264.6020508,874000000.0,12549264.60205078,0.6913557885097723,0.7351131121400142
PAKr102_floodplain,2011,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.5957314968109131,0.2746596038341522,0.6540692448616028,0.6709176301956177,0.8360000848770142,0.2909999489784241,0.296999990940094,0.4128831028938293,0.4845898151397705,0.0,0.133614182472229,29314,4907,11750,1021,16657,12771,17678,36290,9681,111506,113384,48859,887616600.4858398,874000000.0,13616600.485839844,0.6334333745070267,0.6977952313611762
PAKr102_floodplain,2012,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.5807314515113831,0.2626595795154571,0.6440693140029907,0.6559176445007324,0.8350001573562622,0.2889999747276306,0.2949999868869781,0.4028831124305725,0.4784397482872009,0.0,0.0382751785218715,36290,4640,0,0,4640,0,4640,22768,18162,116146,118024,48859,888900393.5134277,874000000.0,14900393.513427734,0.0,0.0
PAKr102_floodplain,2013,enhanced_wash,0.3131000101566314,0.2873000204563141,0.7779999375343323,0.5459509491920471,0.5657314658164978,0.2506595849990845,0.6340692639350891,0.6409176588058472,0.8340002298355103,0.2869999706745147,0.2929999530315399,0.3928830921649933,0.4722897708415985,0.0,0.037783183157444,22768,5100,0,0,5100,0,5100,16565,11303,121246,123124,48859,890169959.638916,874000000.0,16169959.638916016,0.0,0.0
